Epoch,Train 1stPred. Loss,Train 2ndPred. Loss,Val 1stPred. Loss,Val 2ndPred. Loss,Val 1stPred. MRE,Val 2ndPred. MRE,,,Compare,Train 1stPred. Loss,Train 2ndPred. Loss,Val 1stPred. Loss,Val 2ndPred. Loss,Method1 ValMRE,Val 2ndPred. MRE,,,,Method 1 diff.,Accu. 1,Method 2 diff.,Accu. 2
62,0.010763876,0.010521797,0.051316599,0.051534671,65.29692078,65.43639374,,,,0.010683471,0.010746698,0.049583772,0.05072688,55.56436163,56.75647795,,,,-0.139472961,0.033884048,-1.19211632,15.20728889
63,0.010525026,0.010420617,0.043975654,0.043967746,35.27453613,35.2485199,,,,0.010865145,0.010601807,0.052431718,0.052667073,69.04360777,69.3421216,,,,0.026016235,0.059900284,-0.29851383,14.90877506
64,0.010841275,0.010423638,0.049076125,0.049041472,52.02747345,52.24603271,,,,0.01065628,0.010550891,0.034303117,0.034467483,27.2673721,27.43577698,,,,-0.218559265,-0.158658981,-0.168404877,14.74037018
65,0.010378248,0.010561329,0.059824651,0.06000404,79.57540894,79.3789978,,,,0.010676073,0.010636322,0.047269562,0.047871065,59.43932271,59.71639138,,,,0.196411133,0.037752151,-0.277068675,14.46330151
66,0.010622282,0.01039107,0.048076451,0.048552339,58.33031464,58.12621307,,,,0.010985075,0.010929984,0.046893135,0.046731113,55.42050606,56.19119292,,,,0.204101563,0.241853714,-0.770686865,13.69261464
67,0.010730041,0.010536919,0.039707451,0.040440898,46.80533218,47.48482513,,,,0.011198574,0.010881499,0.049186995,0.049224599,51.13094264,51.62119001,,,,-0.67949295,-0.437639236,-0.490247369,13.20236728
68,0.010654681,0.010522829,0.042876951,0.042714272,33.8032608,33.78481674,,,,0.01084429,0.010934494,0.050300007,0.050918254,52.65225059,52.86397278,,,,0.018444061,-0.419195175,-0.211722195,12.99064508
69,0.010476535,0.010433286,0.053428419,0.053460278,55.39638519,55.26432037,,,,0.010664187,0.011195881,0.052381608,0.051553447,60.27811545,58.69641906,,,,0.132064819,-0.287130356,1.581696391,14.57234147
70,0.01031527,0.010154325,0.039057583,0.039224147,31.43885994,31.53273773,,,,0.010728006,0.010625425,0.059531914,0.0605126,71.47331774,70.96068358,,,,-0.093877792,-0.381008148,0.512634158,15.08497563
71,0.010302459,0.00997687,0.052014488,0.052026622,68.11779785,68.48394775,,,,0.011974225,0.011466421,0.040408285,0.040630777,40.77552047,42.08032116,,,,-0.366149902,-0.747158051,-1.304800689,13.78017494
72,0.010094915,0.010182519,0.036396077,0.036191181,26.8220253,26.82244873,,,,0.010687379,0.010676562,0.051668316,0.052783892,47.17321724,47.93109357,,,,-0.000423431,-0.747581482,-0.757876337,13.0222986
73,0.010065826,0.010023702,0.053121011,0.052787818,48.2666626,48.26151276,,,,0.010906635,0.010425469,0.051384143,0.051128566,56.58248752,56.66030109,,,,0.005149841,-0.742431641,-0.077813566,12.94448504
74,0.009975043,0.010002701,0.051091827,0.051239001,46.03432465,45.94824219,,,,0.010259216,0.010243518,0.051071305,0.050688388,62.27277696,62.39282233,,,,0.086082458,-0.656349182,-0.120045364,12.82443967
75,0.010106271,0.010005948,0.049267543,0.051099705,41.37851715,41.73204803,,,,0.010373733,0.010326982,0.04304939,0.042887093,36.05779074,35.90178514,,,,-0.353530884,-1.009880066,0.156005606,12.98044528
76,0.010209044,0.010125779,0.054532615,0.054510054,60.2538681,60.36399841,,,,0.010248362,0.010239492,0.052210765,0.052190439,60.08017719,60.3546015,,,,-0.11013031,-1.120010376,-0.274424314,12.70602097
77,0.010268273,0.010037674,0.040862883,0.040752536,32.45185852,32.1902771,,,,0.010362812,0.010277167,0.051286581,0.050816773,51.1257779,50.95920599,,,,0.261581421,-0.858428955,0.166571915,12.87259288
78,0.010398691,0.010253422,0.045023186,0.045439804,41.19129562,41.36624146,,,,0.010686715,0.010365062,0.040653224,0.04003584,35.49392606,35.39195904,,,,-0.174945831,-1.033374786,0.101967022,12.9745599
79,0.011480527,0.010783359,0.045644858,0.045483699,55.80205536,55.53078079,,,,0.010142338,0.010255827,0.057544753,0.057783019,57.84823865,57.80063874,,,,0.271274567,-0.76210022,0.047599912,13.02215981
80,0.011962752,0.012196029,0.064488267,0.064852685,87.81069946,87.95335388,,,,0.010920609,0.01050972,0.049267705,0.050889014,49.87668663,49.42320818,,,,-0.142654419,-0.904754639,0.453478456,13.47563827
81,0.012696328,0.011886818,0.035388105,0.035447651,26.94220161,27.02698517,,,,0.010756939,0.010685442,0.04214235,0.042834682,50.11408103,50.7956928,,,,-0.084783554,-0.989538193,-0.681611776,12.79402649
82,0.011080588,0.012026715,0.053326793,0.053394692,50.76817322,50.92501831,,,,0.010638702,0.010583638,0.05030217,0.050532667,70.55036223,71.16634071,,,,-0.156845093,-1.146383286,-0.615978479,12.17804801
83,0.012053261,0.012297216,0.054513419,0.055116649,69.37062073,69.51351929,,,,0.010433122,0.010472531,0.040529227,0.040277816,31.60991289,31.51503952,,,,-0.14289856,-1.289281845,0.094873369,12.27292138
84,0.01089071,0.010899645,0.037027246,0.036924008,28.65119934,28.55517769,,,,0.010619637,0.010475492,0.044280586,0.043291199,37.02024648,36.38326368,,,,0.096021652,-1.193260193,0.636982799,12.90990418
85,0.010506465,0.010257783,0.051399816,0.050894085,60.37643433,60.30673599,,,,0.010859123,0.011014942,0.05196568,0.051676085,51.30312115,51.66538715,,,,0.069698334,-1.123561859,-0.362266004,12.54763818
86,0.010249214,0.010193637,0.052481891,0.052604693,56.24093628,56.49371338,,,,0.010807336,0.010356029,0.05558846,0.05534759,63.72273034,64.0799883,,,,-0.2527771,-1.376338959,-0.357257962,12.19038022
87,0.010418526,0.01037115,0.050838776,0.051232906,50.27580261,50.45942688,,,,0.010167808,0.010195223,0.052547037,0.052018445,55.53047431,55.63457161,,,,-0.183624268,-1.559963226,-0.104097307,12.08628291
88,0.010228256,0.010246063,0.054582033,0.054416602,52.65052032,52.56518555,,,,0.01101549,0.010137178,0.063533637,0.062838327,75.70871782,76.29265583,,,,0.085334778,-1.474628448,-0.583938003,11.50234491
89,0.010769905,0.010704088,0.054806519,0.055173632,57.52410126,60.00011444,,,,0.013810089,0.011912272,0.035803196,0.034402637,34.97304779,34.00841811,,,,-2.476013184,-3.950641632,0.96462968,12.46697459
90,0.0104034,0.010615482,0.060343731,0.060998394,71.38917542,71.23191071,,,,0.011525297,0.010926875,0.051539882,0.050433394,52.08491176,52.18274385,,,,0.157264709,-3.793376923,-0.097832084,12.3691425
91,0.010809833,0.010790326,0.046713499,0.047090197,58.76909637,58.7156105,,,,0.011340021,0.010905931,0.045081057,0.044623174,47.16823161,46.84179708,,,,0.05348587,-3.739891052,0.326434523,12.69557703
92,0.011303146,0.01081913,0.052835317,0.054346979,66.06916809,65.71740723,,,,0.010472415,0.010783444,0.042799875,0.042358594,35.87072316,35.74397564,,,,0.351760864,-3.388130188,0.126747519,12.82232454
93,0.01081154,0.010723986,0.052927213,0.052628485,56.308815,56.38174438,,,,0.011027666,0.010644138,0.037030806,0.036116897,29.25100972,28.83617073,,,,-0.072929382,-3.46105957,0.414838985,13.23716353
94,0.010356961,0.010267426,0.051926146,0.052310245,62.55200195,62.71630859,,,,0.010624496,0.010401617,0.035001836,0.034493845,28.20077799,26.34374806,,,,-0.164306641,-3.625366211,1.85702993,15.09419346
95,0.010769453,0.010294413,0.044333105,0.044574334,36.05424118,36.01903534,,,,0.010166013,0.010063831,0.051232345,0.050322356,53.41003257,53.50123489,,,,0.035205841,-3.59016037,-0.091202319,15.00299114
96,0.010785587,0.010973584,0.055302334,0.05535184,60.57707214,60.80960846,,,,0.009987088,0.01008483,0.05028259,0.048910663,45.62414984,45.28551389,,,,-0.232536316,-3.822696686,0.338635951,15.34162709
97,0.010290777,0.010170175,0.051556379,0.051478691,51.5535202,50.92560959,,,,0.011022779,0.010072167,0.053494495,0.052747261,55.8018083,56.10321003,,,,0.627910614,-3.194786072,-0.301401734,15.04022536
98,0.010090641,0.00997647,0.044265463,0.044010558,36.04557419,36.09034348,,,,0.010542234,0.010238191,0.06031355,0.060238239,67.71415991,68.02068031,,,,-0.044769287,-3.239555359,-0.306520402,14.73370495
